align	outfile	file
array	array	string
assembly	assembly	string
boolean	boolean	boolean
codon	infile	file
datafile	infile	file
directory	directory	directory
dirlist	dirlist	string
featout	outfile	file
features	features	string
file	file	file
filelist	filelist	string
float	decimal	decimal
graph	ingraph	ps|hpgl|hp7470|hp7580|meta|cps|x11|tek|tekt|none|data|xterm|svg
infile	infile	file
integer	integer	integer
matrix	matrix	string
matrixf	matrixfile	file
menu	menu	string
obo	obo	string
outassembly	assembly	string
outcodon	outcodon	string
outdir	outdir	directory
outfile	outfile	file
outobo	outfile	file
outrefseq	refseq	string
outresource	outfile	file
outtaxon	outtaxon	string
outtext	outtext	string
outurl	outurl	string
pattern	pattern	string
range	range	string
regexp	regex	string
report	outfile	file
refseq	refseq	string
resource	resource	string
selection	selection	string
seqall	seqall	string
seqout	seqout	string
seqoutall	outfile	file
seqoutset	seqout	string
seqset	infile	file
seqsetall	string	string
sequence	sequence	string
string	string	string
taxon	taxon	string
text	text	string
toggle	toggle	string
url	url	string
variation	variation	string
outvariation	variation	string
xygraph	outgraph	ps|hpgl|hp7470|hp7580|meta|cps|x11|tek|tekt|none|data|xterm|svg
y	string	string
